PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	2p11.2	2	85567174	rs10187424-A	rs10187424	10187424.0	intron_variant	0.59	3e-15	14.52
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	2q37.3	2	237478585	rs7584330-C	rs7584330	7584330.0	intergenic_variant	0.22	3e-09	8.52
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	3q23	3	141383991	rs6763931-T	rs6763931	6763931.0	intron_variant	0.45	2e-08	7.7
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	3q26.2	3	170412314	rs10936632-A	rs10936632	10936632.0	intron_variant	0.52	7e-22	21.15
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	5p15.33	5	1279913	rs2242652-G	rs2242652	2242652.0	intron_variant	0.81	3e-24	23.52
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	5p12	5	44365443	rs2121875-G	rs2121875	2121875.0	intron_variant	0.34	4e-08	7.4
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	6p21.33	6	31150734	rs130067-G	rs130067	130067.0	missense_variant	0.21	3e-08	7.52
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	12q13.12	12	49282227	rs10875943-C	rs10875943	10875943.0	regulatory_region_variant	0.31	7e-12	11.15
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	Xq12	X	67801708	rs5919432-A	rs5919432	5919432.0	intergenic_variant	0.81	1e-08	8.0
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	1q23.1	1	158962765	rs1101999-?	rs1101999	1101999.0	intron_variant	NR	4e-09	8.4
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2q12.1	2	102337157	rs3771180-?	rs3771180	3771180.0	5_prime_UTR_variant	NR	2e-15	14.7
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	5q22.1	5	111066174	rs1837253-?	rs1837253	1837253.0	intergenic_variant	NR	1e-14	14.0
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	9p24.1	9	6193455	rs2381416-?	rs2381416	2381416.0	intergenic_variant	NR	2e-12	11.7
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	17q21.1	17	39908152	rs11078927-?	rs11078927	11078927.0	intron_variant	NR	2e-16	15.7
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	1q21.3	1	152520083	rs4845783-?	rs4845783	4845783.0	intergenic_variant	NR	6e-06	5.22
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	11q23.2	11	114360533	rs11214966-?	rs11214966	11214966.0	intergenic_variant	NR	6e-07	6.22
21804547	Dobbins SE	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804547	Common variation at 10p12.31 near MLLT10 influences meningioma risk.	Meningioma	859 European ancestry cases, 704 European ancestry controls	10p12.31	10	21541175	rs11012732-A	rs11012732	11012732.0	intron_variant	0.32	2e-14	13.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	2q24.3	2	164058698	rs13002573-G	rs13002573	13002573.0	intron_variant	0.2	2e-08	7.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q12	4	53933078	rs871606-T	rs871606	871606.0	intron_variant	0.85	1e-08	8.0
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	7q22.3	7	106771412	rs17477177-T	rs17477177	17477177.0	intergenic_variant	0.72	2e-13	12.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	8q24.12	8	119423572	rs2071518-T	rs2071518	2071518.0	3_prime_UTR_variant	0.17	4e-09	8.4
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11q24.3	11	130403335	rs11222084-T	rs11222084	11222084.0	non_coding_transcript_exon_variant	0.38	2e-11	10.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q23.33	10	94135420	rs9663362-G	rs9663362	9663362.0	intron_variant	0.53	5e-09	8.3
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q21.33	12	89666809	rs17249754-G	rs17249754	17249754.0	intron_variant	0.89	6e-10	9.22
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.32	17	46935905	rs17608766-T	rs17608766	17608766.0	3_prime_UTR_variant	0.91	6e-15	14.22
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	2q24.3	2	164106976	rs1446468-T	rs1446468	1446468.0	intron_variant	0.53	6e-12	11.22
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q25.3	10	114021768	rs2782980-T	rs2782980	2782980.0	regulatory_region_variant	0.2	2e-09	8.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	1p36.22	1	11802721	rs17367504-G	rs17367504	17367504.0	intron_variant	0.17	2e-16	15.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p24.1	3	27496418	rs13082711-T	rs13082711	13082711.0	regulatory_region_variant	0.8	5e-09	8.3
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q24	4	102267552	rs13107325-T	rs13107325	13107325.0	missense_variant	0.12	1e-10	10.0
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5p13.3	5	32814922	rs1173771-G	rs1173771	1173771.0	regulatory_region_variant	0.53	4e-09	8.4
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5q33.3	5	158377449	rs9313772-T	rs9313772	9313772.0	intron_variant	0.32	1e-11	11.0
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10p12.31	10	18439030	rs12258967-G	rs12258967	12258967.0	intron_variant	0.36	2e-16	15.7
